QB-5,08990,QUIRK FORD,QUINCY,MA,6:00 AM,6:00 AM,02169
QB-6,08457,QUIRK FORD,QUINCY,MA,4:00 AM,4:00 AM,02169
QB-7,02966,"WATERTOWN FORD, INC",WALTHAM,MA,7:00 AM,7:00 AM,02453
QB-8,20657,METRO FD SLS INC,SCHENECTADY,NY,5:00 AM,5:00 AM,12304
QB-9,03990,"MORRIS FORD, INC",BURNT HILLS,NY,7:00 AM,7:00 AM,12027
QB-10,03608,NEMER FORD,QUEENSBURY,NY,7:00 AM,7:00 AM,12804
QB-11,20700,JACK BYRNE FORD,MECHANICVLLE,NY,8:00 AM,8:00 AM,12118
QB-12,07554,DEPAULA FORD,ALBANY,NY,5:00 AM,5:00 AM,12206
QB-13,07392,SALEM FORD,SALEM,NH,7:00 AM,7:00 AM,03079
QB-14,08977,FORD OF LONDONDERRY,LONDONDERRY,NH,7:00 AM,7:00 AM,03053
QB-15,08932,"AUTOFAIR FORD, LP",MANCHESTER,NH,5:00 AM,5:00 AM,03103
QB-16,08860,GRAPPONE FORD,BOW,NH,4:30 AM,4:30 AM,03304
QB-17,08927,ROBERT H IRWIN MTR,LACONIA,NH,7:00 AM,7:00 AM,03246
QC-1,04081,FAMILY FORD ENFIELD,ENFIELD,CT,7:00 AM,7:00 AM,06082
QC-2,08892,LAMOUREUX FD INC,E BROOKFIELD,MA,7:00 AM,7:00 AM,01515
QC-3,08916,SUNNYSIDE MTR CO IN,HOLDEN,MA,7:00 AM,7:00 AM,01520
QC-4,08933,ACTON FORD INC,ACTON,MA,5:00 AM,5:00 AM,01720
QC-5,03090,BEST FORD LINCOLN,NASHUA,NH,7:00 AM,7:00 AM,03063
QC-6,09175,TOWNSEND SLS & SVC,TOWNSEND,MA,8:30 AM,8:30 AM,01469
QC-7,08823,GERVAIS INC,AYER,MA,7:00 AM,7:00 AM,01432
QC-8,13100,GERVAIL LINCOLN INC,LOWELL,MA,7:00 AM,7:00 AM,01851
QC-9,08988,DRUM HILL FD INC,LOWELL,MA,7:00 AM,7:00 AM,01851
QC-10,09100,MATHIEU FORD SLS,WINCHENDON,MA,9:00 AM,9:00 AM,01475
